street_number,street_name,zip_code,latitude,longitude,people_count
314,ACREBROOK DR,01062,42.314515985695,-72.694243301029,3
21,WESTWOOD TER,01062,42.312099860195,-72.701169267623,2
101,WARNER ST,01062,42.324652053567,-72.662704713951,1
16,FAIRFIELD AVE,01062,42.335231063112,-72.665456073669,3
208,SOUTH ST,01060,42.310376666631,-72.636224856896,1
277,AUDUBON RD,01053,42.358827419746,-72.713193694462,2
111,SOUTH ST,01060,42.313417956379,-72.633581959006,2
30,VILLAGE HILL RD,01060,42.312059501331,-72.647916522179,25
118,AUSTIN CIR,01062,42.316393783463,-72.689198736422,1
25,NEW SOUTH ST,01060,42.317011781184,-72.634220827666,12
15,CAROLYN ST,01062,42.34557441545,-72.668159991814,2
55,CRESCENT ST,010602112,42.324829666095,-72.63775941573,2
34,DOGWOOD LN,01060,42.340749372887,-72.651890382474,1
38,ALLISON ST,01060,42.336864528403,-72.64594006941,3
764,RYAN RD,01062,42.311732523288,-72.702354552551,2
273,STATE ST,01060,42.327821628343,-72.635297483129,2
24,TURKEY HILL RD,01062,42.309734780486,-72.716523740774,2
32,TERRACE LN,01060,42.334924453094,-72.65186741606,1
51,VILLAGE HILL RD,01060,42.312612036389,-72.646797202829,34
95,HIGH ST,01062,42.337547443964,-72.669271599813,1
28,GILRAIN TER,01062,42.320857775547,-72.688586438395,1
26,WINTHROP ST,01060,42.308280604104,-72.638597438409,2
39,OLANDER DR,01060,42.312560320046,-72.64575826593,2
13,BUTTERNUT LN,01060,42.338945419685,-72.651246065577,1
37,COLES MEADOW RD,010601108,42.355962191874,-72.640937498138,1
27,WEST FARMS RD,01062,42.308366141426,-72.716063909566,4
54,CLAIRE AVE,01062,42.344495203506,-72.665911043373,2
60,MASSASOIT ST,01060,42.326404206607,-72.64593923122,1
360,HATFIELD ST,01060,42.342498592261,-72.644845309036,4
20,WARD AVE,01060,42.318868121281,-72.650872316515,1
20,DEERFIELD DR,01062,42.311358858045,-72.695641821574,1
214,HAYDENVILLE RD,01053,42.356833742166,-72.692304483006,1
669,WESTHAMPTON RD,010629734,42.301327186777,-72.703732537433,2
140,OLANDER DR,01060,42.31585474327,-72.647762965713,36
38,SPRUCE HILL AVE,010623415,42.324298379162,-72.68770734439,1
188,NORTH ELM ST,01060,42.332789582355,-72.653561314872,2
10,SOUTH PARK TER,01060,42.30663615852,-72.643474532591,1
303,PROSPECT ST,01060,42.330019740541,-72.645795062485,4
12,HAYES AVE,010602213,42.328887387332,-72.64008891426,4
127,PROSPECT AVE,01060,42.334967577986,-72.648570478265,1
44,DEERFIELD DR,01062,42.312222696986,-72.695688760232,1
120,KENNEDY RD,01053,42.342887177292,-72.723499998787,2
30,PROSPECT AVE,01060,42.332162825545,-72.65082596459,2
621,BURTS PIT RD,01062,42.313420848136,-72.678587749916,1
85,NORTH MAIN ST,010621503,42.33778238871,-72.674462177173,1
31,WHITTIER ST,01062,42.300227355352,-72.678805344123,2
11,LASELL AVE,01060,42.312694095221,-72.634688286406,1
231,BROOKSIDE CIR,01062,42.311944753077,-72.692550408045,3
212,CRESCENT ST,01060,42.325028862024,-72.642443139405,2
270,CRESCENT ST,010602145,42.322981288807,-72.642402990089,2
420,HAYDENVILLE RD,01053,42.362255743873,-72.69556688736,2
997,BURTS PIT RD,01062,42.31069266438,-72.690924989381,1
28,FOREST GLEN DR,01062,42.311732523288,-72.697081497264,1
9,FAIRVIEW AVE,01060,42.309781216229,-72.63673875138,2
68,PINES EDGE DR,01060,42.345620348279,-72.646822683814,1
698,WESTHAMPTON RD,01062,42.300518584578,-72.704824364141,3
90,WOODMONT RD,010602317,42.32945630901,-72.631197978105,2
16,WILDER PL,01062,42.335521705605,-72.668585876314,2
87,CLEMENT ST,01062,42.317745993993,-72.665943146062,2
150,GROVE ST,01060,42.307727021308,-72.649078253959,2
79,CLEMENT ST,01062,42.317962247095,-72.665995449138,2
110,NORTH MAPLE ST,01062,42.340586512508,-72.672210630342,1
938,BRIDGE RD,01060,42.338368074195,-72.640157059133,2
401,SYLVESTER RD,010629706,42.32350214027,-72.717443654648,2
34,LINCOLN AVE,01060,42.328696154211,-72.626035061025,1
42,LAUREL PARK,010601196,42.360249912534,-72.639591280669,2
9,HICKORY DR,01062,42.323860634269,-72.686562376417,2
32,WINTHROP ST,01060,42.308189911911,-72.63840867795,3
42,INDIAN HILL,01062,42.322292966918,-72.678318271729,1
250,FLORENCE RD,01062,42.322000899502,-72.675089897902,2
150,MAIN ST L,01053,42.348281937814,-72.701072372823,2
777,BRIDGE RD,01060,42.338029612944,-72.645578306469,2
75,POMEROY TER,01060,42.319915607721,-72.623655019618,2
116,FERN ST,01062,42.343039057377,-72.678934425432,2
32,MANN TER,01062,42.331846073424,-72.670636928021,2
35,LINSEED RD,01060,42.372909142809,-72.639889424965,2
15,GARFIELD AVE,01062,42.338697566809,-72.664266178694,2
1,ASPEN LN,01060,42.339147381642,-72.652174612811,1
82,MAPLEWOOD TER,01062,42.324419246206,-72.664708491724,1
33,WATER ST,01053,42.352729752824,-72.702947404563,2
120,BROOKSIDE CIR,01062,42.315496752186,-72.69467865708,1
131,FLORENCE RD,010622669,42.325479808415,-72.678236212897,2
11,GRAVES AVE,01060,42.321772660279,-72.628490455741,2
305,BRIDGE RD,01062,42.343907296818,-72.667666800631,1
105,BLACK BIRCH TRAIL,01062,42.307350380489,-72.670063019111,2
67,HATFIELD ST,01060,42.337423810892,-72.650286756759,2
23,JACKSON ST,01060,42.330612341096,-72.645149823579,2
16,STRONG AVE,01060,42.319768714867,-72.627910260403,1
21,BRISSON DR,01062,42.296683989603,-72.717817822806,2
17,JAMES AVE,01060,42.319674083181,-72.650099505042,1
62,ACREBROOK DR,01062,42.319028676636,-72.688430954091,3
88,JACKSON ST,01060,42.332912922061,-72.644968858289,2
77,MASSASOIT ST,01060,42.326922753047,-72.644659817519,2
70,TURKEY HILL RD,01062,42.309264681446,-72.718168270177,2
18,WOODS RD,01062,42.311319085914,-72.68766233357,2
25,LANDY AVE,01062,42.330090064709,-72.670438444554,1
215,MAIN ST N,010603122,42.341036095399,-72.678353921256,1
49,WEST PARSONS LN,01062,42.309396947878,-72.6999091323,4
32,FAIRWAY DR,01062,42.299020906118,-72.674760572927,3
43,MURPHY TER,01060,42.330956166764,-72.643771000506,2
29,CRABAPPLE LN,01060,42.340327427881,-72.652049051901,2
29,MYRTLE ST,01060,42.324657669442,-72.634598683861,3
33,OLANDER DR,010603631,42.312359950651,-72.645730102735,1
30,BIRCH HILL RD,010623402,42.322899313794,-72.686161218531,2
124,WILLOW ST,01062,42.325452399592,-72.672661241457,2
94,STRAW AVE,01062,42.337713950471,-72.663058514084,3
18,HAMPSHIRE HTS,01060,42.3253327,-72.6361794,7
1140,FLORENCE RD,010623652,42.293394637431,-72.672112645894,4
47,FIRETHORN LN,01060,42.340368834483,-72.650354231079,1
58,GOLDENCHAIN LN,010604506,42.341035111966,-72.649962963839,1
15,LEENO TER,010621004,42.345902734597,-72.67441054465,1
37,WARBURTON WAY,01060,42.336886614718,-72.650249289652,1
155,PLEASANT ST,01060,42.317739917113,-72.627744717816,57
29,JAMES AVE,010602805,42.320100973509,-72.650629828056,1
325,ACREBROOK DR,01062,42.314691209381,-72.694944866325,2
170,AUDUBON RD,010539100,42.355383672917,-72.711091596964,2
30,PILGRIM DR,01060,42.333473671383,-72.651857693052,2
106,BLACK BIRCH TRAIL,01062,42.307350380489,-72.670063019111,2
96,NORTH ST,01060,42.326527378674,-72.631104436066,3
19,HATFIELD ST,01060,42.333301884277,-72.655309696056,1
47,GILRAIN TER,01062,42.320047538877,-72.688566238009,2
96,LAKE ST,010621321,42.342592762943,-72.673778800608,1
36,LAUREL LN,01060,42.354800669642,-72.643627083229,3
82,WASHINGTON AVE,010602825,42.319945321567,-72.648607861553,2
74,VILLAGE HILL RD,01060,42.313367916417,-72.648313237656,9
7,HEFFERNAN ST,01053,42.350573172956,-72.691908354262,2
39,WATER ST,01053,42.352358141147,-72.702880349338,4
39,HARRISON AVE,01060,42.321426906773,-72.645943841266,2
41,RIDGEWOOD TER,01060,42.334063002995,-72.646285236183,2
64,FEDERAL ST,01062,42.321362952851,-72.654236644811,3
367,BROOKSIDE CIR,010623512,42.314367877466,-72.688291395404,6
33,GARFIELD AVE,010621440,42.337474395678,-72.664814355161,4
350,RYAN RD,01062,42.321706820429,-72.689025985398,1
720,KENNEDY RD,01053,42.362788749096,-72.723040419036,2
26,NUTTING AVE,01062,42.326079533587,-72.655771874197,1
1040,HATHAWAY FARMS,01060,42.3253327,-72.6361794,2
114,BRIERWOOD DR,01062,42.316683629675,-72.68830212424,3
61,EMILY LN,01060,42.342252373855,-72.64806446277,3
81,WATER ST,01053,42.350654645055,-72.70299090664,3
77,HAWTHORN LN,01060,42.342080838206,-72.650729572703,2
231,NORTH MAIN ST,01062,42.34177582075,-72.679031739328,1
50,MUSANTE DR,01060,42.312524948415,-72.649477316369,2
34,WASHINGTON AVE,01060,42.321469151565,-72.646714138168,2
55,WILLIAMS ST,01060,42.317355523034,-72.623274145938,6
14,CROSS ST,01062,42.328687646579,-72.675994389074,1
13,WALNUT ST,01060,42.324053376133,-72.629993666257,3
55,WESTWOOD TER,01062,42.311052667122,-72.701257445245,2
17,WATER ST,01053,42.353285808281,-72.703188635736,2
19,FOX FARMS RD,01062,42.343236744564,-72.667503185881,1
193,NORTH ST,01060,42.328813375127,-72.627621755296,2
63,STRAW AVE,01062,42.336597732425,-72.662849217962,2
271,PROSPECT ST,01060,42.329540840504,-72.642885871531,4
319,PROSPECT ST,01060,42.330201124926,-72.646787060726,2
259,MAIN ST N,01060,42.342242385105,-72.679743488247,4
491,BRIDGE RD,01062,42.337988876895,-72.661589082639,281
23,LAKE ST,01062,42.340113856988,-72.673282172844,1
63,HATFIELD ST,01060,42.336922573083,-72.650794448634,8
188,BRIDGE ST,01060,42.326151827502,-72.625556202897,2
31,DANA ST,01060,42.333318480446,-72.654143186591,1
7,BEAVER BROOK LOOP,01053,42.359323879871,-72.696569195342,2
35,NEW SOUTH ST,01060,42.316552997714,-72.634145725814,26
89,MASSASOIT ST,01060,42.32728258815,-72.644222785087,2
103,BLACK BIRCH TRAIL,01062,42.30739187091,-72.670369042396,3
