Num,Street,Ward,Year,count,name_label,Location,address,Addr,person_id,wkt
29,Howes St,7,2023,2,2 Black Gum,Setback,29 Howes St,29 Howes St,6,POINT (103529 899879)
29,Munroe St,4,2023,1,1 Black Gum,Setback,29 Munroe St,29 Munroe St,10,POINT (106643.7 896256.1)
29,Munroe St,4,2024,2,2 Higan Cherry,Tree Belt,29 Munroe St,29 Munroe St,10,POINT (106643.5 896244.6)
30,Locust St,5,2023,1,1 Yellowwood,Tree Belt,30 Locust St,30 Locust St,8,POINT (104912.3 898408.3)
31,Wilson Ave,3,2025,1,1 Ginkgo 'Princeton Sentry',Tree Belt,31 Wilson Ave,31 Wilson Ave,12,POINT (106909.1 896773.6)
32,Barrett Pl,2,2024,2,2 Hackberry,RoW,32 Barrett Pl,32 Barrett Pl,1,POINT (106232.1 897474.9)
34,Hubbard Ave,3,2025,1,1 Serviceberry 'Autumn Brilliance',Tree Belt,34 Hubbard Ave,34 Hubbard Ave,13,POINT (107403.5 898601)
35,Conz St,3,2024,3,"1 Ginkgo 'Princeton Sentry'<br>1 Sweetgum ""Moraine""<br>1 Winter King Hawthorn",Setback,35 Conz St,35 Conz St,12,POINT (106860.6 896624.9)
35,Fox Farms Rd,5,2024,3,3 Serviceberry,Setback,35 Fox Farms Rd,35 Fox Farms Rd,4,POINT (103787.2 899792)
35,Hubbard Ave,3,2025,2,"2 Ginkgo ""Princeton Sentry""",Tree Belt,35 Hubbard Ave,35 Hubbard Ave,13,POINT (107404 898639)
36,Hawley St,3,2025,1,1 Kentucky Coffeetree Espresso,Tree Belt,36 Hawley St,36 Hawley St,5,POINT (107172.8 897239.3)
38,Hubbard Ave,3,2025,1,"1 Redbud 'Minnesota Hardy""",Tree Belt,38 Hubbard Ave,38 Hubbard Ave,13,POINT (107382 898609.2)
38,North Elm St,5,2023,1,1 Exclamation London Plane Tree,Tree Belt,38 North Elm St,38 North Elm St,8,POINT (105199.4 897943.4)
38,Summer St,4,2024,1,1 Honeylocust 'Street Keeper',Tree Belt,38 Summer St,38 Summer St,1,POINT (106472.5 897637.9)
39,Ridgeview Rd,6,2025,3,1 Blackgum<br>1 Exclamation Londonplane<br>1 Swamp White Oak,Tree Belt,39 Ridgeview Rd,39 Ridgeview Rd,2,POINT (98552.15 894138.5)
39,Wilson Ave,3,2025,1,1 Ginkgo 'Princeton Sentry',Tree Belt,39 Wilson Ave,39 Wilson Ave,12,POINT (106924.2 896787.4)
40,Stoddard St,1,2024,1,1 American Hop Hornbeam,Setback,40 Stoddard St,40 Stoddard St,1,POINT (106328.4 898152.1)
42,Hubbard Ave,3,2025,2,"2 Redbud 'Minnesota Hardy""","RoW, Tree Belt",42 Hubbard Ave,42 Hubbard Ave,13,POINT (107365.6 898614.4)
42,Stoddard St,1,2024,1,1 American Hop Hornbeam,Setback,42 Stoddard St,42 Stoddard St,1,POINT (106321.8 898152.2)
44,Stoddard St,1,2024,2,1 American Hop Hornbeam<br>1 Swamp White Oak 'American Dream',Setback,44 Stoddard St,44 Stoddard St,1,POINT (106350.5 898160)
45,Stoddard St,1,2024,1,1 Tulip Tree 'Emerald City',Setback,45 Stoddard St,45 Stoddard St,1,POINT (106352.6 898118.1)
46,Middle St,5,2023,2,2 Tulip Tree 'Emerald City',Setback,46 Middle St,46 Middle St,11,POINT (103545.7 898788.2)
47,Burts Pit Rd,2,2025,1,1 Bur Oak,RoW,47 Burts Pit Rd,47 Burts Pit Rd,15,POINT (104880.4 896372.3)
47,Orchard St,3,2024,1,1 Ginkgo 'Princeton Sentry',Tree Belt,47 Orchard St,47 Orchard St,13,POINT (107055 898100.3)
48,Meadow St,7,2023,1,1 Redbud,RoW,48 Meadow St,48 Meadow St,11,POINT (103102.8 898867)
49,Ridgeview Rd,6,2025,1,1 Hardy Rubber Tree,Tree Belt,49 Ridgeview Rd,49 Ridgeview Rd,2,POINT (98564.21 894095.5)
