"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00190120","AMHERST, MA US","2012-10-09","56",",,7","39",",,7"
"USC00190120","AMHERST, MA US","2012-10-10","55",",,7","45",",,7"
"USC00190120","AMHERST, MA US","2012-10-11","57",",,7","41",",,7"
"USC00190120","AMHERST, MA US","2012-10-12","56",",,7","35",",,7"
"USC00190120","AMHERST, MA US","2012-10-13","54",",,7","24",",,7"
"USC00190120","AMHERST, MA US","2012-10-14","54",",,7","25",",,7"
"USC00190120","AMHERST, MA US","2012-10-15","66",",,7","48",",,7"
"USC00190120","AMHERST, MA US","2012-10-16","70",",,7","48",",,7"
"USC00190120","AMHERST, MA US","2012-10-17","55",",,7","31",",,7"
"USC00190120","AMHERST, MA US","2012-10-18","61",",,7","32",",,7"
"USC00190120","AMHERST, MA US","2012-10-19","66",",,7","35",",,7"
"USC00190120","AMHERST, MA US","2012-10-20","67",",,7","53",",,7"
"USC00190120","AMHERST, MA US","2012-10-21","74",",,7","39",",,7"
"USC00190120","AMHERST, MA US","2012-10-22","63",",,7","38",",,7"
"USC00190120","AMHERST, MA US","2012-10-23","65",",,7","39",",,7"
"USC00190120","AMHERST, MA US","2012-10-24","61",",,7","39",",,7"
"USC00190120","AMHERST, MA US","2012-10-25","54",",,7","42",",,7"
"USC00190120","AMHERST, MA US","2012-10-26","59",",,7","42",",,7"
"USC00190120","AMHERST, MA US","2012-10-27","64",",,7","49",",,7"
"USC00190120","AMHERST, MA US","2012-10-28","58",",,7","50",",,7"
"USC00190120","AMHERST, MA US","2012-10-29","59",",,7","50",",,7"
"USC00190120","AMHERST, MA US","2012-10-30","65",",,7","50",",,7"
"USC00190120","AMHERST, MA US","2012-10-31","67",",,7","50",",,7"
"USC00190120","AMHERST, MA US","2012-11-01","53",",,7","44",",,7"
"USC00190120","AMHERST, MA US","2012-11-02","51",",,7","44",",,7"
"USC00190120","AMHERST, MA US","2012-11-03","52",",,7","42",",,7"
"USC00190120","AMHERST, MA US","2012-11-04","49",",,7","28",",,7"
"USC00190120","AMHERST, MA US","2012-11-05","49",",,7","28",",,7"
"USC00190120","AMHERST, MA US","2012-11-06","41",",,7","18",",,7"
"USC00190120","AMHERST, MA US","2012-11-07","42",",,7",,
"USC00190120","AMHERST, MA US","2012-11-08","37",",,7","30",",,7"
"USC00190120","AMHERST, MA US","2012-11-09","42",",,7","33",",,7"
"USC00190120","AMHERST, MA US","2012-11-10","52",",,7","29",",,7"
"USC00190120","AMHERST, MA US","2012-11-11","57",",,7","30",",,7"
"USC00190120","AMHERST, MA US","2012-11-12","64",",,7","38",",,7"
"USC00190120","AMHERST, MA US","2012-11-13","64",",,7","40",",,7"
"USC00190120","AMHERST, MA US","2012-11-14","46",",,7","26",",,7"
"USC00190120","AMHERST, MA US","2012-11-15","46",",,7","25",",,7"
"USC00190120","AMHERST, MA US","2012-11-16","44",",,7","26",",,7"
"USC00190120","AMHERST, MA US","2012-11-17","44",",,7","26",",,7"
"USC00190120","AMHERST, MA US","2012-11-18","49",",,7","20",",,7"
"USC00190120","AMHERST, MA US","2012-11-19","49",",,7","21",",,7"
"USC00190120","AMHERST, MA US","2012-11-20","48",",,7","21",",,7"
"USC00190120","AMHERST, MA US","2012-11-21","48",",,7","22",",,7"
"USC00190120","AMHERST, MA US","2012-11-22","51",",,7","24",",,7"
"USC00190120","AMHERST, MA US","2012-11-23","55",",,7","24",",,7"
"USC00190120","AMHERST, MA US","2012-11-24","56",",,7","29",",,7"
"USC00190120","AMHERST, MA US","2012-11-25","42",",,7","30",",,7"
"USC00190120","AMHERST, MA US","2012-11-26","42",",,7","28",",,7"
"USC00190120","AMHERST, MA US","2012-11-27","46",",,7","23",",,7"
"USC00190120","AMHERST, MA US","2012-11-28","35",",,7","29",",,7"
"USC00190120","AMHERST, MA US","2012-11-29","39",",,7","23",",,7"
"USC00190120","AMHERST, MA US","2012-11-30","45",",,7","30",",,7"
"USC00190120","AMHERST, MA US","2012-12-01","34",",,7","25",",,7"
"USC00190120","AMHERST, MA US","2012-12-02","31",",,7","25",",,7"
"USC00190120","AMHERST, MA US","2012-12-03","46",",,7","31",",,7"
"USC00190120","AMHERST, MA US","2012-12-04","55",",,7","30",",,7"
