FID,UNIQUEID,SPP_COM,SPP_BOT,DBH,LOCATION,ADDRESS,STREET,ONSTR,X,Y,LATITUDE,LONGITUDE
569,CXK20161020120455,Vacant site small,Vacant site small,0.000000000000000,Street,147.000000000000000,NORTH MAIN ST,NORTH MAIN ST,103051.834459000010000,899439.134745000050000,42.339428043200002,-72.676502400600000
570,JXS20161024081046,Vacant site small,Vacant site small,0.000000000000000,Street,39.000000000000000,DENISE CT,DENISE CT,106215.109000000000000,898888.953403000020000,42.334861684400003,-72.638030433099999
571,ZXR20161017154506,Vacant site small,Vacant site small,0.000000000000000,Street,44.000000000000000,MUNROE ST,MUNROE ST,106742.616362000000000,896213.702850000000000,42.310842092300000,-72.631199663700002
572,JXS20161024083305,Vacant site small,Vacant site small,0.000000000000000,Street,95.000000000000000,BARRETT ST,BARRETT ST,105896.354516000010000,898794.200508999990000,42.333970364599999,-72.641882498699999
573,JXS20161024084437,Vacant site small,Vacant site small,0.000000000000000,Street,199.000000000000000,JACKSON ST,JACKSON ST,105794.510667000000000,899054.590882000050000,42.336302123899998,-72.643160499299995
574,ZXR20161017134902,Vacant site small,Vacant site small,0.000000000000000,Street,50.000000000000000,WILLIAMS ST,WILLIAMS ST,107427.583729000010000,896944.656038000020000,42.317503679900000,-72.623008792099995
575,JXS20161024102449,Vacant site large,Vacant site large,0.000000000000000,Street,106.000000000000000,INDUSTRIAL DR,INDUSTRIAL DR,106783.728504000000000,898924.822789000000000,42.335252673900001,-72.631137116999994
576,JXS20161018113644,Vacant site small,Vacant site small,0.000000000000000,Street,213.000000000000000,GROVE ST,GROVE ST,105022.997805000010000,895879.593306000000000,42.307627214900002,-72.652001162299996
577,ZXR20161017135105,Vacant site small,Vacant site small,0.000000000000000,Street,60.000000000000000,WILLIAMS ST,WILLIAMS ST,107431.550057000000000,896906.583042999960000,42.317161413599997,-72.622954601299995
578,JXS20161024103210,Vacant site large,Vacant site large,0.000000000000000,Street,115.000000000000000,INDUSTRIAL DR,INDUSTRIAL DR EAST,106881.834698000010000,898921.319847999960000,42.335232846600000,-72.629946219100006
579,ZXR20161012132222,Vacant site small,Vacant site small,0.000000000000000,Street,45.000000000000000,FORT HILL TERR,FORT HILL TERR,106481.005319000000000,896587.470869999960000,42.314175503100003,-72.634432892400000
580,ZXR20161012082034,Vacant site small,Vacant site small,0.000000000000000,Street,33.000000000000000,TRUMBULL RD,TRUMBULL RD,106459.802723000000000,897439.019944000060000,42.321838666700003,-72.634827484799999
581,JXS20161024081236,Vacant site large,Vacant site large,0.000000000000000,Street,38.000000000000000,DENISE CT,DENISE CT,106201.230714000000000,898894.886506999960000,42.334913427300002,-72.638199779499999
582,ZXR20161012101305,Vacant site large,Vacant site large,0.000000000000000,Borderline,12.000000000000000,ALLEN PL,ALLEN PL,106671.291018000000000,897355.633044000020000,42.321113314999998,-72.632248587299998
583,ZXR20161012140916,Vacant site small,Vacant site small,0.000000000000000,Street,41.000000000000000,ELM ST,ELM ST,106306.311656000010000,897157.822782999950000,42.319288913299999,-72.636643956300006
584,ZXR20161012132123,Vacant site small,Vacant site small,0.000000000000000,Street,39.000000000000000,FORT HILL TERR,FORT HILL TERR,106482.352820000000000,896554.711354000030000,42.313880760799996,-72.634411263600001
585,ZXR20161012141616,Vacant site small,Vacant site small,0.000000000000000,Street,43.000000000000000,ELM ST,PROSPECT ST,106226.761379000000000,897236.591490000020000,42.319988446499998,-72.637621649400003
586,ZXR20161012140608,Vacant site medium,Vacant site medium,0.000000000000000,Street,33.000000000000000,ELM ST,ELM ST,106388.218066000000000,897088.110499999950000,42.318671180599999,-72.635639167799994
587,ZXR20161012085712,Vacant site small,Vacant site small,0.000000000000000,Street,69.000000000000000,PROSPECT ST,PROSPECT ST,106358.264471000000000,897579.856462000050000,42.323094316800002,-72.636081955199998
588,JXS20161024110232,Vacant site large,Vacant site large,0.000000000000000,Street,55.000000000000000,DAMON RD,INDUSTRIAL DR,106520.462334000000000,899192.398123000050000,42.337629921199998,-72.634374535099994
589,ZXR20161012092751,Vacant site small,Vacant site small,0.000000000000000,Street,76.000000000000000,GOTHIC ST,TRUMBULL RD,106576.617764000000000,897435.700411999950000,42.321822767000000,-72.633409919200005
590,JXS20161018114050,Vacant site small,Vacant site small,0.000000000000000,Street,201.000000000000000,GROVE ST,GROVE ST,105076.152074000000000,895886.480907000020000,42.307695678700000,-72.651357646099996
591,JXS20161025160908,Vacant site large,Vacant site large,0.000000000000000,Street,8.000000000000000,BLACKBERRY LN,BLACKBERRY LN,105396.266606000000000,898758.116625000020000,42.333585106100003,-72.647944095499994
592,ZXR20161013151729,Vacant site large,Vacant site large,0.000000000000000,Street,37.000000000000000,PHILLIPS PL,PHILLIPS PL,107253.232405000000000,897317.219165000020000,42.320836837599998,-72.625183244100000
593,ZXR20161013153319,Vacant site small,Vacant site small,0.000000000000000,Street,59.000000000000000,POMEROY TERR,POMEROY TERR,107367.139883000000000,897286.196742999950000,42.320571090400001,-72.623796545499999
594,ZXR20161013153532,Vacant site small,Vacant site small,0.000000000000000,Street,42.000000000000000,BUTLER PL,BUTLER PL,107335.576078000000000,897256.871623000010000,42.320303358899999,-72.624174736100002
595,JXS20161019090705,Vacant site large,Vacant site large,0.000000000000000,Street,26.000000000000000,BURTS PIT RD,BURTS PIT RD,105073.758615000000000,896274.587342999990000,42.311189145500002,-72.651450217700003
596,ZXR20161020101011,Vacant site large,Vacant site large,0.000000000000000,Street,22.000000000000000,ICE POND DR,ICE POND DR,104052.524116000000000,895700.775902000020000,42.305898890900004,-72.663741250800001
597,ZXR20161012155002,Vacant site large,Vacant site large,0.000000000000000,Street,1.000000000000000,ONE ROUNDHOUSE PLAZA,OLD SOUTH ST,106716.266533999990000,896859.911886999970000,42.316656171600002,-72.631623232500004
598,ZXR20161012160820,Vacant site small,Vacant site small,0.000000000000000,Street,180.000000000000000,MAIN ST,MAIN ST,106731.434612000000000,897014.455597999970000,42.318049197000001,-72.631464117999997
599,ZXR20161012103608,Vacant site small,Vacant site small,0.000000000000000,Street,99.000000000000000,MAIN ST,KING ST,106833.011683000000000,897209.591936000040000,42.319817952199998,-72.630263372399995
600,CXK20161024122055,Vacant site small,Vacant site small,0.000000000000000,Street,55.000000000000000,HASTINGS HEIGHTS,HASTINGS HEIGHTS,103355.330944000000000,900075.862680000020000,42.345197474000003,-72.672926070000003
601,ZXR20161014134418,Vacant site small,Vacant site small,0.000000000000000,Street,21.000000000000000,WILSON AVE,WILSON AVE,106878.924752000010000,896761.017178999960000,42.315785324200000,-72.629634372200002
602,ZXR20161014134633,Vacant site small,Vacant site small,0.000000000000000,Street,33.000000000000000,WILSON AVE,WILSON AVE,106900.874310000000000,896781.948358000020000,42.315976365099999,-72.629371499100003
603,ZXR20161014114850,Vacant site small,Vacant site small,0.000000000000000,Street,395.000000000000000,PLEASANT ST,PLEASANT ST,107240.006163000000000,896657.204084999980000,42.314893757299998,-72.625238057800004
604,ZXR20161014101358,Vacant site large,Vacant site large,0.000000000000000,Street,45.000000000000000,HENRY ST,HENRY ST,107637.951409999990000,896677.329401000050000,42.315122087399999,-72.620414490599998
605,CXK20161024145352,Vacant site large,Vacant site large,0.000000000000000,Street,465.000000000000000,NORTH FARMS RD,NORTH FARMS RD,103524.495488000000000,902069.361393000000000,42.363163764699998,-72.671205455500001
606,CXK20161024115654,Vacant site large,Vacant site large,0.000000000000000,Street,38.000000000000000,LEENO TERR,LEENO TERR,103320.833515000010000,900187.907124000020000,42.346201822099999,-72.673363399600007
607,JXS20161025155434,Vacant site large,Vacant site large,0.000000000000000,Street,91.000000000000000,BLACKBERRY LN,BLACKBERRY LN,105470.625562000000000,899008.346930000000000,42.335846689699999,-72.647082746400002
608,ZXR20161013092142,Vacant site small,Vacant site small,0.000000000000000,Street,32.000000000000000,PLEASANT ST,PLEASANT ST,106929.537814000000000,897138.075534999950000,42.319185665399999,-72.629081010099995
609,ZXR20161014154348,Vacant site small,Vacant site small,0.000000000000000,Street,36.000000000000000,LYMAN RD,LYMAN RD,106742.006381000000000,896303.169170000010000,42.311647402900000,-72.631221453400002
610,ZXR20161014095555,Vacant site small,Vacant site small,0.000000000000000,Street,45.000000000000000,HENRY ST,HENRY ST,107645.261575000000000,896669.478218000030000,42.315052274700001,-72.620324572599998
611,ZXR20161014114556,Vacant site small,Vacant site small,0.000000000000000,Street,395.000000000000000,PLEASANT ST,PLEASANT ST,107225.449324999990000,896702.700552999970000,42.315301591500003,-72.625421902599996
612,ZXR20161014115216,Vacant site medium,Vacant site medium,0.000000000000000,Street,397.000000000000000,PLEASANT ST,PLEASANT ST,107257.899703000000000,896594.277436999950000,42.314329411000003,-72.625010955400001
613,ZXR20161014120324,Vacant site medium,Vacant site medium,0.000000000000000,Street,441.000000000000000,PLEASANT ST,PLEASANT ST,107278.024613999990000,896476.892730999970000,42.313275092700003,-72.624748082300002
