FID,UNIQUEID,SPP_COM,SPP_BOT,DBH,LOCATION,ADDRESS,STREET,ONSTR,X,Y,LATITUDE,LONGITUDE
41,ZXR20161013150548,Stump,Stump,23.000000000000000,Street,50.000000000000000,HAWLEY ST,HAWLEY ST,107172.036660000000000,897213.205502000060000,42.319890851899999,-72.626151519199993
42,CXK20161024145103,Stump,Stump,27.000000000000000,Street,465.000000000000000,NORTH FARMS RD,NORTH FARMS RD,103560.258506000000000,902194.559117999980000,42.364295205399998,-72.670792210700000
43,ZXR20161014084125,Stump,Stump,14.000000000000000,Street,36.000000000000000,HOLYOKE ST,HAWLEY ST,107323.953877000010000,896891.728722000030000,42.317014933800003,-72.624257332300004
44,JXS20161114112427,Stump,Stump,14.000000000000000,Borderline,428.000000000000000,CHESTERFIELD RD,CHESTERFIELD RD,100087.885091000000000,899829.239549000050000,42.342566062899998,-72.712533558999993
45,JXS20161110090406,Stump,Stump,16.000000000000000,Street,592.000000000000000,SPRING ST,SPRING ST,101235.601750999990000,900073.580094999980000,42.344911635300001,-72.698648380700007
46,ZXR20161028083008,Stump,Stump,10.000000000000000,Street,1.000000000000000,ROUNDHOUSE PLAZA,ROUNDHOUSE PLAZA,106672.536059000010000,896841.215344000030000,42.316482639599997,-72.632150653500005
47,ZXR20161028083559,Stump,Stump,12.000000000000000,Street,1.000000000000000,ROUNDHOUSE PLAZA,ROUNDHOUSE PLAZA,106689.065094000010000,896894.411091999970000,42.316963486600002,-72.631958727599994
48,CXK20161110084932,Stump,Stump,20.000000000000000,Street,346.000000000000000,GLENDALE RD,GLENDALE RD,99871.442235499999000,893670.881005999980000,42.287101051699999,-72.714096214799994
49,ZXR20161013151324,Stump,Stump,14.000000000000000,Street,23.000000000000000,PHILLIPS PL,PHILLIPS PL,107142.223021000000000,897266.252208000050000,42.320364838099998,-72.626521663099993
50,CXK20161018085757,Stump,Stump,16.000000000000000,Street,72.000000000000000,CLEMENT ST,CLEMENT ST,103905.370352000000000,897094.971049000040000,42.318431395899999,-72.665756947399998
51,ZXR20161014110810,Stump,Stump,9.000000000000000,Street,251.000000000000000,PLEASANT ST,PLEASANT ST,107155.143069000000000,896891.723845000030000,42.316994840500001,-72.626304945300006
52,ZXR20161006111113,Stump,Stump,32.000000000000000,Street,94.000000000000000,VERNON ST,VERNON ST,105095.780184000000000,897309.890905000040000,42.320511674400002,-72.651352633599998
53,ZXR20161014110125,Stump,Stump,2.000000000000000,Street,223.000000000000000,PLEASANT ST,PLEASANT ST,107129.761856000000000,896922.851786999960000,42.317272039099997,-72.626617797400002
